cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
589	281.1383422766006	6.1603045	0	449002.97	620558.3	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
590	502.27995556414913	6.1636925	0	496360.88	590506.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
591	851.3980712762828	6.1636925	0	422748.53	1028493.75	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
592	179.14298726894748	6.158378	0	697910.94	626985.9	486727.6225	493513.40833333327	509046.66874999995	0	487393.485	486061.76	520911.93	497181.4075	0	482325.765	492461.20499999996	478484.72	493638.80000000005	540935.47	500888.39	473597.345	520765.47	0	495242.1325	500532.15875	0	493835.82499999995	501938.46625	0	482271.5375	491183.7075	508212.7275	509880.61
593	460.2694593639848	6.1624675	0	21605698.0	25584300.0	514635.54875	0.0	630898.915	0	491116.4325	538154.665	684066.74	577731.09	0	490685.935	491546.93000000005	477191.61	599117.72	727133.78	640999.7	559987.3	595474.88	0	606384.77	539149.69375	0	563749.65625	581784.8075	0	530491.2	498779.89749999996	682278.34	579519.49
594	415.2115296324466	6.1625557	0	13986954.0	19749646.0	317105.0525	0.0	376353.4725	0	298217.4075	335992.6975	406288.6875	346418.2575	0	305685.58999999997	290749.225	302571.1	369414.29500000004	439153.765	373423.61	353777.595	339058.92000000004	0	366026.89375	327431.63125	0	350297.0125	343161.5125	0	322911.6925	311298.4125	409142.095	343564.85
595	432.2384747842568	6.1636925	0	2401925.8	3437693.2	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
596	446.2538457483256	6.164002	0	767712.06	956980.4	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
597	437.1935494298734	6.1622844	0	10487271.0	14059493.0	146089.66	0.0	243519.33375	0	77042.575	215136.745	278919.8075	208118.86	0	0.0	154085.15	136019.3	294254.19	351182.175	206657.44	153474.375	262763.345	0	242874.22625	146734.7675	0	160168.9625	229440.03125	0	148953.16999999998	143226.15	336795.2825	150243.385
598	453.1677656568812	6.1673903	0	5182350.5	6348481.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
599	506.2751625572232	6.1816673	0	0.0	436495.2	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
600	511.2304419401931	6.1867623	0	583937.56	1116144.4	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
601	534.306509998745	6.199472	0	457800.3	809789.3	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
602	252.232185398888	6.2475233	0	593341.7	1071531.6	461970.29375	0.0	522683.5575	0	436730.05	487210.5375	554883.8875	490483.2275	0	455376.65	418083.45	454235.345	520185.73	586092.325	523675.44999999995	501609.035	479357.42000000004	0	520178.255	464475.59625	0	499328.33875	485325.5125	0	465821.375	458119.2125	574535.135	470831.98
