cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
431	374.2260697939937	4.6024194	0	0.0	0.0	1066079.1875	857052.6083333334	928626.295	0	1077591.475	1054566.9	793879.415	1063373.175	0	1036053.95	1119129.0	1005188.7	1103945.1	1064012.28	523746.55	1088537.4	1038208.95	0	901263.045	1093442.4375	0	1048448.0825	946257.4	0	1046157.625	1086000.75	756368.465	1100884.125
432	273.1209910739244	4.6405115	0	3297237.0	0.0	2733763.5125	2994497.1166666667	2700638.425	0	2266151.425	3201375.6	2218555.5	3182721.35	0	3101398.35	1430904.5	3097045.2	3305706.0	1408312.4	3028798.6	3123109.1	3242333.6	0	3063035.8625	2371366.075	0	2682466.2625	2751935.675	0	3117717.225	2349809.8	3008354.5	2392922.35
433	491.3053334296981	4.6316667	0	8098167.5	0.0	4903299.0	5732238.75	4017306.9	0	5553742.125	4252855.875	2177292.8	5857321.0	0	5515233.0	5592251.25	2610496.75	5895215.0	0.0	4354585.6	5927388.25	5787253.75	0	3994276.525	4926329.375	0	3513279.5	5407326.4	0	4165547.75	5641050.25	3823005.3	4211608.5
434	257.1470799084911	4.816421	0	12190031.0	0.0	17628715.125	13279879.0	18440414.75	0	17787130.0	17470300.25	17531570.0	19349259.5	0	18205905.0	17368355.0	16234565.0	18706035.5	16221185.0	18841955.0	21782800.0	16915719.0	0	17571651.375	18497478.5	0	18111113.75	17958016.125	0	16808367.25	18449063.0	18334935.5	18545894.0
435	140.06818884477815	4.8292546	0	2314996.5	0.0	7974739.5625	5709311.416666667	9275665.25	0	8696972.875	7252506.25	9524467.125	9026863.375	0	9040983.5	8352962.25	6687823.75	7817188.75	8348321.75	10700612.5	9839918.0	8213808.75	0	8215304.375	9035100.4375	0	8479261.75	8771143.0625	0	7602932.875	8346546.25	8827675.875	9723654.625
436	491.305343896963	4.7590833	0	8765252.0	0.0	2974577.7375	3683746.966666667	2466520.125	0	2919599.0	3029556.475	1869578.775	3063461.475	0	3029265.5	2809932.5	3071976.35	2987136.6	1963926.3	1775231.25	2849556.85	3277366.1	0	2572335.9375	2868761.925	0	2728681.25	2712416.6125	0	3059128.425	2890027.05	2085543.4500000002	2847496.8
437	196.0639000573319	4.8348985	0	0.0	0.0	12525569.375	15990175.5	11599093.75	0	13149874.0	11901264.75	12025783.0	11172404.5	0	13630079.0	12669669.0	12183039.0	11619490.5	12506079.0	11545487.0	11582144.0	10762665.0	0	11854211.0	12270452.125	0	12475335.25	11649327.875	0	12606138.75	12445000.0	11102283.25	12095904.25
438	211.0461906921707	4.8424764	0	0.0	0.0	1896738.2625	1658414.3833333335	1982399.4875	0	1903731.7750000001	1889744.75	2020211.2	1944587.775	0	1996108.9500000002	1811354.6	1935995.1	1843494.4	1957611.75	2082810.65	2005396.9	1883778.65	0	1975980.6375	1903157.1125	0	1973778.175	1905359.575	0	1919438.75	1874037.775	2032522.525	1932276.45
439	202.05993706729816	4.842026	0	0.0	0.0	1144805.085	989254.6833333332	1208728.9375	0	1148108.52	1141501.65	1207358.225	1210099.65	0	1264467.02	1031750.02	1133870.8	1149132.5	1064150.6	1350565.85	1228388.5	1191810.7999999998	0	1127705.38	1225828.6425	0	1172719.23	1180814.7925	0	1000575.71	1289034.46	1254835.0499999998	1162622.825
440	293.0992003084544	4.844557	0	0.0	0.0	1370140.7375	1335251.1666666667	1463402.0	0	1377274.25	1363007.225	1489852.6	1436951.4	0	1488535.8	1266012.7	1389853.75	1336160.7	1282092.4	1697612.8	1491917.1	1381985.7000000002	0	1345220.4875	1488322.25	0	1413099.7625	1420442.975	0	1187128.4749999999	1553153.0	1503312.5	1423491.5
441	205.068365378501	4.846052	0	0.0	2054386.1	36057883.75	32219070.333333332	40726035.25	0	36410395.0	35705372.5	43222239.0	38229831.5	0	38108936.0	34711854.0	35909112.0	35501633.0	43456992.0	42987486.0	40284536.0	36175127.0	0	38178209.5	38605709.5	0	39439894.0	37344025.0	0	34898799.5	37216968.0	41457619.5	39994451.0
442	390.2000831559611	4.855489	0	8908272.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
443	234.0198506472754	4.8577037	0	0.0	0.0	1861740.725	2019062.2833333332	1678861.55	0	2003188.675	1720292.775	1800316.675	1557406.425	0	2073341.4	1933035.9500000002	1567341.3	1873244.25	1618771.3	1981862.05	1505511.6	1609301.25	0	1649765.5875000001	1890836.6875	0	1691241.4	1849360.875	0	1818456.725	1905024.725	1481074.4500000002	1876648.65
444	591.240960587716	4.865968	0	1486167.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
445	147.06522812041428	4.870326	0	0.0	0.0	45635552.5	60139413.0	37867950.5	0	46618121.0	44652984.0	36677230.0	39058671.0	0	44563050.0	48673192.0	41852203.0	47453765.0	36476139.0	36878321.0	37168156.0	40949186.0	0	40097866.75	43405636.25	0	40014887.0	43488616.0	0	46156843.5	45114261.5	34038890.0	41697011.0
446	165.0758129479741	4.8707967	0	0.0	0.0	72378364.25	96268822.66666667	60356866.5	0	73261461.0	71495267.5	58579374.5	62134358.5	0	70382672.0	76140250.0	66691635.0	76298900.0	59370462.0	57788287.0	59140332.0	65128385.0	0	63587061.5	69148169.25	0	63896275.25	68838955.5	0	73019302.5	71737426.0	54154820.5	66558912.5
447	200.11296657305948	4.8707967	0	0.0	0.0	4846661.3125	6726084.166666667	3993353.1875	0	4890161.125	4803161.5	3915399.8	4071306.575	0	4689517.5	5090804.75	4448983.25	5157339.75	3877530.25	3953269.35	3903235.9	4239377.25	0	4170214.75	4669799.75	0	4229816.725	4610197.775	0	4944492.75	4748829.875	3395936.75	4590769.625
448	129.05477878273015	4.871246	0	0.0	0.0	53229958.25	70630492.0	44715478.5	0	54212577.0	52247339.5	43346446.0	46084511.0	0	52036190.0	56388964.0	48962461.0	55532218.0	43233967.0	43458925.0	43758416.0	48410606.0	0	47013484.75	50931952.0	0	46997758.5	50947678.25	0	53735128.5	52724788.0	40291841.0	49139116.0
449	183.0863944020512	4.871246	0	0.0	0.0	219318051.25	290908568.3333333	183971782.0	0	222518417.5	216117685.0	178830791.5	189112772.5	0	212646545.0	232390290.0	201209155.0	231026215.0	180171385.0	177490198.0	180442470.0	197783075.0	0	192386329.5	210903503.75	0	193617388.75	209672444.5	0	221848017.5	216788085.0	162924641.5	205018922.5
450	188.0917054586851	4.8711357	0	0.0	0.0	929472.8375	1117715.8583333334	616689.1875	0	957440.665	901505.01	366415.17500000005	866963.2	0	1060204.78	854676.55	915951.77	887058.25	393341.2	339489.15	786643.7	947282.7	0	677063.355	869098.67	0	789035.3625	757126.6625	0	918846.9099999999	940098.765	435279.8	798098.575
451	130.0580665266995	4.8707085	0	0.0	0.0	3817757.75	5000106.0	3172318.3125	0	4055037.925	3580477.575	3018954.25	3325682.375	0	3785806.6	4324269.25	3326816.25	3834138.9	3040422.0	2997486.5	3153236.15	3498128.6	0	3357243.0875	3632832.975	0	3326570.25	3663505.8125	0	3789196.8	3846318.7	2925289.375	3419347.25
452	166.07906886677372	4.868917	0	0.0	0.0	5210422.375	6719074.333333333	4275652.725	0	5418226.5	5002618.25	4029873.575	4521431.875	0	5272296.0	5564157.0	4961429.75	5043806.75	4021007.75	4038739.4	4214240.5	4828623.25	0	4625280.4125	4860794.6875	0	4617243.5	4868831.6	0	5255153.0	5165691.75	3995407.825	4555897.625
453	182.4757063031693	4.887166	0	0.0	0.0	0.0	181161.19999999998	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
454	474.1617095414859	4.887168	0	8061923.5	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
455	558.123214353199	4.887168	0	1333302.2	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
456	221.04225873853468	4.8899255	0	0.0	0.0	352757723.75	377635278.3333333	357957537.5	0	363223525.0	342291922.5	363569395.0	352345680.0	0	335991390.0	390455660.0	311495785.0	373088060.0	387855040.0	339283750.0	333136605.0	371554755.0	0	340343928.75	370371332.5	0	342119705.0	368595556.25	0	350760525.0	354754922.5	329927332.5	385987742.5
457	223.03999298683743	4.8904157	0	0.0	0.0	25227718.5	27040682.666666668	25499036.25	0	26056099.0	24399338.0	25732066.5	25266006.0	0	23909411.0	28202787.0	21955843.0	26842833.0	27566623.0	23897510.0	24085922.0	26446090.0	0	24242400.25	26484354.5	0	24379449.75	26347305.0	0	25044047.5	25411389.5	23440753.0	27557319.5
458	224.04317779780675	4.890437	0	0.0	0.0	1718525.5125	1798802.0	1770199.9874999998	0	1796128.175	1640922.85	1861167.15	1679232.825	0	1693243.75	1899012.6	1437748.8	1844096.9	1887367.8499999999	1834966.45	1638308.75	1720156.9	0	1682679.1375	1806046.3624999998	0	1664167.2875	1824558.2125	0	1695397.375	1741653.65	1669960.9	1870439.075
459	221.85702372420792	4.8974767	0	0.0	0.0	0.0	235090.7333333333	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
460	276.122029311861	4.908153	0	1857092.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
461	357.0824521300337	4.908153	0	3037574.2	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
462	212.05893832001627	4.9074726	0	0.0	0.0	213617.68125	0.0	0.0	0	0.0	427235.3625	0.0	0.0	0	0.0	0.0	403378.125	451092.6	0.0	0.0	0.0	0.0	0	112773.15	100844.53125	0	100844.53125	112773.15	0	225546.3	201689.0625	0.0	0.0
463	273.1210872323048	4.9637465	0	242524690.0	0.0	27531393.5	33209107.0	25014450.875	0	28504646.5	26558140.5	21940202.25	28088699.5	0	19043122.0	37966171.0	37386164.0	15730117.0	28222462.0	15657942.5	38003397.0	18174002.0	0	24177147.25	28368697.125	0	30663786.25	21882058.125	0	28683214.0	26379573.0	19671080.5	30357821.25
464	156.03478229237135	4.9505324	0	3058248.8	0.0	2011408.2625	2467881.266666667	1862134.8125	0	2052902.75	1969913.775	1723549.825	2000719.8	0	2044371.3	2061434.2	1985304.1	1954523.45	1677213.4500000002	1769886.2	2022493.6	1978946.0	0	1904599.9375	1968943.1375	0	1932345.6125	1941197.4625	0	2060578.525	1962238.0	1748621.35	1975648.275
