#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
179	spectra_filtered.mgf	*..*		:21	198	-1	0	257.147	1	0.768981	0	0	4072860.0	2702320.0	BETAINE 2M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf179	-1	GNPS-MSMLS.mgf	3901.88				7	0	1.00336	258.15	0	CCMSLIB00005463949
692	spectra_filtered.mgf	*..*		:16	16	-1	0	281.247	1	0.768297	0	0	5067.0	120889.0	linoleic acid [M+H]+	GNPS-SCIEX-LIBRARY	temp/spectra_filtered.mgf692	-1	GNPS-SCIEX-LIBRARY.mgf	3496.89				12	0	0.98349	280.264	0	CCMSLIB00006581640
915	spectra_filtered.mgf	*..*		:3697	1805	-1	0	270.279	1	0.76546	0	0	8196020.0	294855.0	amylamine-C12:0 M+H	ECG-ACYL-AMIDES-C4-C24-LIBRARY	temp/spectra_filtered.mgf915	-1	ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf	3712.3				9	0	1.00336	271.282	0	CCMSLIB00011435259
700	spectra_filtered.mgf	*..*		:5206	5206	-1	0	281.247	1	0.763464	0	0	476.055	3465920.0	MoNA:790536 Linoleic acid M+H	MONA	temp/spectra_filtered.mgf700	-1	MONA.mgf	3496.89				10	0	0.98349	280.264	0	CCMSLIB00000567955
812	spectra_filtered.mgf	*..*		:3192	1670	-1	0	255.232	1	0.763422	0	0	243558.0	209738.0	Spectral Match to Palmitelaidic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf812	-1	GNPS-NIST14-MATCHES.mgf	3855.71				8	0	0.9841	254.248	0	CCMSLIB00003136157
165	spectra_filtered.mgf	*..*		:197751	197751	-1	0	275.09	1	0.761072	0	0	2122.0	5297840.0	Phloretin [M+H]+	BMDMS-NP	temp/spectra_filtered.mgf165	-1	BMDMS-NP.mgf	7157.41				7	0	1.96893	273.121	0	CCMSLIB00006552051
185	spectra_filtered.mgf	*..*		:197751	197751	-1	0	275.09	1	0.761039	0	0	2122.0	8345690.0	Phloretin [M+H]+	BMDMS-NP	temp/spectra_filtered.mgf185	-1	BMDMS-NP.mgf	7157.41				6	0	1.96893	273.121	0	CCMSLIB00006552051
535	spectra_filtered.mgf	*..*		:1013	1013	-1	0	245.175	0	0.757253	0	0	22802900.0	126458.0	Brassylic acid - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf535	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	4013.74				8	0	0.98407	244.191	0	CCMSLIB00006114412
847	spectra_filtered.mgf	*..*		:3476	483	-1	0	376.318	0	0.753103	0	0	47100.6	251100.0	3-hydroxyhexadecanoyl phenethylamine [M+H]+ [M+H]+	3-HYDROXY-ACYL-AMIDES-LIBRARY	temp/spectra_filtered.mgf847	-1	3-HYDROXY-ACYL-AMIDES-LIBRARY.mgf	2678.98				6	0	1.00815	377.326	0	CCMSLIB00013641307
893	spectra_filtered.mgf	*..*		:6012	2362	-1	0	282.279	1	0.750132	0	0	283986.0	14468400.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf893	-1	GNPS-NIST14-MATCHES.mgf	3551.46				9	0	1.0025	283.281	0	CCMSLIB00003136849
571	spectra_filtered.mgf	*..*		:2687	4532	-1	0	275.201	0	0.749906	0	0	331150.0	152934.0	Spectral Match to 9-OxoOTrE from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf571	-1	GNPS-NIST14-MATCHES.mgf	1.4416				7	0	0.000396729	275.201	0	CCMSLIB00003139019
909	spectra_filtered.mgf	*..*		:2075	4135	-1	0	249.257	1	0.749528	0	0	822224.0	171665.0	Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf909	-1	GNPS-NIST14-MATCHES.mgf	7943.53				9	0	1.97998	251.237	0	CCMSLIB00003138622
761	spectra_filtered.mgf	*..*		:3121	131	-1	0	280.225	1	0.749231	0	0	55885.2	139259.0	3-hydroxydecanoyl amylamine [M+Na]+ [M+Na]+	3-HYDROXY-ACYL-AMIDES-LIBRARY	temp/spectra_filtered.mgf761	-1	3-HYDROXY-ACYL-AMIDES-LIBRARY.mgf	137.546				8	0	0.0385437	280.264	0	CCMSLIB00013640932
9	spectra_filtered.mgf	*..*		:21	659	-1	0	215.053	1	0.74877	0	0	159930.0	7809280.0	QUINATE M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf9	-1	GNPS-MSMLS.mgf	629.43				6	0	0.135361	214.918	0	CCMSLIB00005464410
1033	spectra_filtered.mgf	*..*		:16030	34493	-1	0	849.403	1	0.745635	0	0	577.294	287077.0	(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,6bS,8aS,14bR)-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid [M+K]+	MONA	temp/spectra_filtered.mgf1033	-1	MONA.mgf	999.093				11	0	0.848633	850.252	0	CCMSLIB00004707093
913	spectra_filtered.mgf	*..*		:3697	1805	-1	0	270.279	1	0.745133	0	0	8196020.0	3380490.0	amylamine-C12:0 M+H	ECG-ACYL-AMIDES-C4-C24-LIBRARY	temp/spectra_filtered.mgf913	-1	ECG-ACYL-AMIDES-C4-C24-LIBRARY.mgf	0.677468				10	0	0.000183105	270.279	0	CCMSLIB00011435259
775	spectra_filtered.mgf	*..*		:1804	10099	-1	0	183.086	0	0.740883	0	0	229126.0	348009.0	MANNITOL - 30.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf775	-1	GNPS-LIBRARY.mgf	482.968				6	0	0.0884247	183.174	0	CCMSLIB00005884957
722	spectra_filtered.mgf	*..*		:16	16	-1	0	281.247	1	0.735226	0	0	5067.0	112421.0	linoleic acid [M+H]+	GNPS-SCIEX-LIBRARY	temp/spectra_filtered.mgf722	-1	GNPS-SCIEX-LIBRARY.mgf	3496.89				10	0	0.98349	280.264	0	CCMSLIB00006581640
911	spectra_filtered.mgf	*..*		:1804	10099	-1	0	183.086	0	0.73081	0	0	229126.0	301036.0	MANNITOL - 30.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf911	-1	GNPS-LIBRARY.mgf	2.08355				6	0	0.00038147	183.086	0	CCMSLIB00005884957
2	spectra_filtered.mgf	*..*		:21	659	-1	0	215.053	1	0.726086	0	0	159930.0	346627.0	QUINATE M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf2	-1	GNPS-MSMLS.mgf	8823.86				6	0	1.8976	216.951	0	CCMSLIB00005464410
741	spectra_filtered.mgf	*..*		:9077	9077	-1	0	166.981	1	0.725059	0	0	163.9	62438.7	Tioxolone [M-H]-	MSNLIB-NEGATIVE	temp/spectra_filtered.mgf741	-1	MSNLIB-NEGATIVE.mgf	11409.7				6	0	1.9052	165.076	0	CCMSLIB00012301464
14	spectra_filtered.mgf	*..*		:600	5710	-1	0	239.105	1	0.724703	0	0	690140.0	2493160.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf14	-1	GNPS-NIST14-MATCHES.mgf	4198.47				7	0	1.00388	240.109	0	CCMSLIB00003140197
672	spectra_filtered.mgf	*..*		:45486	45486	-1	0	316.152	1	0.723444	0	0	439.122	60091.0	Defensamide [M+Na]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf672	-1	MSNLIB-POSITIVE.mgf	534.283				6	0	0.168915	316.321	0	CCMSLIB00012358877
606	spectra_filtered.mgf	*..*		:1747	766	-1	0	277.215	1	0.72109	0	0	5468650.0	73267.0	Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf606	-1	GNPS-NIST14-MATCHES.mgf	3545.11				8	0	0.982758	276.232	0	CCMSLIB00003135252
