formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C9H20O5	[M + H]+	C9H21O5+	1.000	1.000	24.373	24.373	0.000	4	0.025	4.589	4.589	-0.264		209.138	39	0.648	839146238655436815	839146026281041924	839146026281041923	120	
1	C23H42N4O8	[M + H3N + H]+	C23H46N5O8+	0.997	0.333	54.202	51.765	2.436	9	0.482	-0.476	2.175	-2.440		520.333	39	0.649	839146608182016103	839146026637557796	839146026637557795	128	
1	C20H42O11	[M + H3N + H]+	C20H46NO11+	0.838	0.744	57.041	53.349	3.692	14	0.623	0.150	0.968	-0.604		476.306	39	0.655	839146637386955275	839146026687889448	839146026687889447	129	
1	C27H36O8	[M + Na]+	C27H36NaO8+	0.448	0.675	9.387	5.926	3.461	1	0.074	-0.015	0.107	-0.115		511.230	40	0.660	839146576959616734	839146026734026796	839146026734026795	130	
1	C15H30O	[M + H3N + H]+	C15H34NO+	1.000	0.500	107.286	103.536	3.750	29	0.678	3.527	3.527	-0.046		244.263	41	0.676	839146155012623410	839146026775969840	839146026775969839	131	
1	C23H44O4	[M + H3N + H]+	C23H48NO4+	0.991	0.333	44.263	44.263	0.000	13	0.726	0.081	0.327	0.036		402.358	41	0.677	839146215687426938	839146026809524276	839146026809524275	132	
1	C19H38O2	[M + H3N + H]+	C19H42NO2+	0.512	0.500	47.585	47.585	0.000	8	0.411	0.507	0.507	-0.177		316.321	41	0.679	839146779028602324	839146026847273016	839146026847273015	133	
1	C13H28N4O4	[M + Na]+	C13H28N4NaO4+	0.993	0.994	50.934	50.934	0.000	16	0.282	-0.681	1.022	2.029		327.201	41	0.682	839146517446636303	839146026905993276	839146026905993275	134	
1	C14H23BN2O2	[M + Na]+	C14H23BN2NaO2+	0.999	1.000	144.940	144.940	0.000	29	0.800	3.568	3.680	-1.480		284.178	42	0.693	839146164672105999	839146026973102144	839146026968907839	135	
1	C10H22O6	[M + H]+	C10H23O6+	0.869	0.444	67.619	64.455	3.163	7	0.932	-0.335	1.449	-0.313		239.149	43	0.721	839146256506395414	839146027015045188	839146027015045187	136	
