cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
1189	235.13219050835687	9.466533	0	0.0	251625.55	1176908.1625	20412.928333333333	1306547.6285714286	0	1158245.925	1195570.4	1339993.1500000001	1261953.5999999999	0	1120118.4	1196373.45	1136309.05	1254831.75	1370465.8	1309520.5	1334024.4	1225918.2	0	1316382.9142857143	1168302.2875	0	1226830.1285714286	1246660.975	0	1216743.575	1137072.75	1449235.3666666665	1199531.825
1190	457.3499565774327	9.472155	0	305071.78	321242.5	277379.835	289154.1766666667	286446.96285714285	0	284318.81	270440.86	280947.535	293779.5333333333	0	279689.37	288948.25	282943.32	257938.40000000002	269181.49	292713.57999999996	293565.16	293886.72	0	282350.9057142857	280963.885	0	279599.0742857143	283371.7375	0	272827.565	281932.105	295048.6933333333	279995.66500000004
1191	291.2680732478363	9.479576	0	215016.1	410363.28	264942.955	0.0	312403.3828571429	0	246753.2475	283132.6625	339496.8875	276278.71	0	235546.31	257960.185	287989.765	278275.56	358861.68500000006	320132.08999999997	215685.1	306575.515	0	300338.85142857145	275499.42	0	282925.8028571429	290735.8375	0	249368.585	280517.325	368299.2066666667	270481.515
1192	308.2946701123907	9.479313	0	2394654.8	4866154.5	2857864.4375	122654.34166666666	3278738.3571428573	0	2626084.55	3089644.325	3552209.925	2914109.6	0	2512383.2	2739785.9	3115314.5	3063974.15	3543486.75	3560933.1	2760174.8	2991077.0	0	3227784.3857142855	2902449.1625	0	3014649.1	3088942.5375	0	2832549.7	2883179.175	3754763.966666667	2921719.15
1193	369.297468621906	9.446941	0	485506.12	434713.28	363628.97625	352434.2066666667	346397.02714285714	0	352401.02	374856.9325	348435.83	343678.62333333335	0	344016.87	360785.17	390795.065	358918.8	350517.14	346354.52	312769.34	359133.265	0	363948.5857142857	348271.3625	0	354775.35571428575	356297.93875	0	366556.415	360701.5375	360471.48	335841.1875
1194	161.96956443706628	9.558346	0	536388.4	487951.53	431346.44	445501.56833333336	495100.2928571428	0	346628.21	516064.67	502988.55	484582.6166666667	0	223739.625	469516.79500000004	527100.9299999999	505028.41000000003	500647.75	505329.35	461127.44	496310.20499999996	0	493698.8914285715	432572.66625	0	423443.4357142857	494046.19	0	485692.1025	377000.77749999997	504374.61000000004	488144.555
1195	377.3138537530383	9.551644	0	251654.75	301494.84	249616.5325	171354.00333333333	246330.75142857144	0	246776.7525	252456.3125	259142.015	229249.06666666665	0	247093.8	246459.705	248633.97999999998	256278.64500000002	273058.28500000003	245225.745	221504.19	233121.505	0	254880.78714285715	242135.25125	0	251296.6171428571	245271.4	0	249129.4575	250103.60749999998	262549.2266666667	234166.89500000002
1196	355.33178135564617	9.550649	0	295972.1	315581.56	260972.075	142373.63166666665	250273.05285714287	0	256745.91249999998	265198.2375	264968.4625	230679.17333333334	0	253384.02000000002	260107.805	264684.33999999997	265712.135	273314.98	256621.945	217990.83	237023.345	0	260444.88714285713	252071.72	0	257251.07285714286	254866.3075	0	259437.0975	262507.0525	261788.6066666667	241636.3875
1197	400.3897336486886	9.550766	0	172535.05	206804.77	171560.7025	43168.0	173626.82142857142	0	166533.7725	176587.6325	180014.345	165110.12333333332	0	162017.02000000002	171050.525	162218.41499999998	190956.85	180346.68	179682.01	146868.23	174231.07	0	179185.41857142857	166696.93	0	165147.4942857143	178980.11375	0	174001.775	169119.63	186096.94333333333	164274.23
1198	308.29463876659923	9.57303	0	481462.38	856351.2	548013.535	0.0	668103.2714285714	0	512929.96	583097.11	691579.225	636802.0	0	498541.44	527318.48	576053.47	590140.75	721622.75	661535.7	661577.5	624414.25	0	631423.5514285713	580108.29	0	607716.1171428572	600852.2949999999	0	564048.155	531978.915	721257.4133333332	628237.665
