CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
920	997	3	0.8716	28.031
997	1028	3	0.9581	-0.000
997	1062	3	0.9325	-14.016
997	1172	3	0.9206	-28.031
997	1210	3	0.9281	-42.047
938	993	3	0.8507	42.047
938	1037	3	0.8391	56.062
938	1038	3	0.8539	42.047
920	1210	3	0.9233	-14.016
1028	1210	3	0.8919	-42.047
1062	1210	3	0.9208	-28.031
1145	1210	3	0.9296	-56.063
1172	1210	3	0.9618	-14.016
993	1150	3	0.9056	-28.031
1038	1150	3	0.9368	-28.031
1062	1150	3	0.9026	42.047
1139	1150	3	0.8989	-14.016
1145	1150	3	0.8935	14.015
993	1038	3	0.8847	0.000
1037	1038	3	0.9439	-14.016
1028	1062	3	0.9114	-14.016
1062	1145	3	0.967	28.031
1028	1139	3	0.868	42.047
993	1037	3	0.8994	14.016
920	1145	3	0.8889	42.047
1145	1172	3	0.9192	-42.047
920	1028	3	0.8688	28.031
920	1172	3	0.9011	-0.000
906	1028	3	0.8929	28.031
1028	1172	3	0.8853	-28.031
906	1172	3	0.9074	-0.000
803	955	4	0.9073	0.000
838	955	4	0.8024	15.995
862	955	4	0.8077	2.016
955	966	4	0.9517	0.000
955	982	4	0.8695	0.000
955	1043	4	0.8129	-2.016
900	907	4	0.7659	0.000
803	982	4	0.8031	0.000
838	982	4	0.7837	15.995
862	982	4	0.8019	2.016
966	982	4	0.8871	0.000
982	996	4	0.7882	24.000
1006	1175	4	0.8755	-28.031
1022	1175	4	0.741	-28.031
1076	1175	4	0.7746	-14.016
1092	1175	4	0.7084	-14.016
1105	1175	4	0.7566	-14.016
1112	1175	4	0.7047	0.000
791	1080	4	0.8514	-28.031
799	1080	4	0.8856	-28.031
814	1080	4	0.8155	-28.031
956	1080	4	0.8828	-28.031
967	1080	4	0.8801	-28.031
984	1080	4	0.8658	-28.031
996	1165	4	0.7992	-29.035
1092	1165	4	0.7094	-29.035
1165	1232	4	0.8087	-27.028
860	957	4	0.8056	2.016
957	970	4	0.837	-0.000
957	994	4	0.855	24.000
957	1032	4	0.8089	-3.019
957	1042	4	0.8007	-2.016
957	1059	4	0.8436	-2.016
963	1076	4	0.7505	-14.016
963	1112	4	0.7148	-28.031
834	1105	4	0.7545	-56.063
1049	1105	4	0.8049	-14.016
1092	1105	4	0.8917	0.000
1105	1108	4	0.8028	26.016
661	1041	4	0.8417	-52.068
737	1041	4	0.9045	-28.031
836	1041	4	0.9873	-0.000
861	1041	4	0.987	-0.000
875	1041	4	0.8732	-0.000
894	1041	4	0.874	-0.000
951	1041	4	0.8874	-0.000
1041	1056	4	0.9607	0.000
1041	1192	4	0.8975	-28.031
1041	1198	4	0.8509	-28.031
834	1134	4	0.754	25.020
1031	1134	4	0.9033	0.000
1033	1134	4	0.7896	14.016
1049	1134	4	0.7016	67.067
1049	1108	4	0.7797	12.000
1092	1108	4	0.8039	26.016
860	862	4	0.7942	-18.011
860	994	4	0.873	26.016
860	1042	4	0.8519	-0.000
860	1059	4	0.8865	-0.000
860	1066	4	0.7925	12.000
737	1017	4	0.8262	-28.031
931	1017	4	0.8498	-28.031
827	862	4	0.807	15.011
827	1058	4	0.7914	15.011
996	1232	4	0.9232	-56.063
1015	1232	4	0.8412	-56.063
1063	1232	4	0.909	-42.047
852	1211	4	0.7961	-2.052
1015	1211	4	0.7942	-42.047
996	1015	4	0.8997	0.000
1015	1146	4	0.8507	-10.021
1015	1168	4	0.8315	-10.021
803	862	4	0.7876	-2.016
862	1043	4	0.9286	-0.000
862	1058	4	0.9255	0.000
862	1059	4	0.7925	18.011
862	1191	4	0.8397	-28.031
791	984	4	0.9596	0.000
799	984	4	0.9628	0.000
814	984	4	0.9257	0.000
820	984	4	0.8427	18.010
891	984	4	0.8379	0.000
956	984	4	0.9904	0.000
966	984	4	0.8378	-17.027
967	984	4	0.9415	0.000
984	1090	4	0.8677	-28.031
966	996	4	0.8296	24.000
996	1063	4	0.8066	-14.016
996	1146	4	0.8403	-10.021
996	1168	4	0.8263	-10.021
671	834	4	0.7052	-16.031
799	966	4	0.8372	17.027
803	966	4	0.8649	0.000
956	966	4	0.8378	17.027
966	994	4	0.8471	42.010
966	1146	4	0.8352	13.979
661	737	4	0.8559	-24.036
661	836	4	0.8448	-52.068
661	861	4	0.8436	-52.068
661	940	4	0.7884	-70.078
661	1044	4	0.8237	18.010
661	1191	4	0.7617	-63.072
791	956	4	0.958	0.000
799	956	4	0.9677	0.000
814	956	4	0.9321	0.000
820	956	4	0.841	18.010
891	956	4	0.8471	0.000
956	967	4	0.9417	0.000
956	1090	4	0.8719	-28.031
791	967	4	0.9725	0.000
799	967	4	0.9351	0.000
814	967	4	0.9289	0.000
820	967	4	0.8357	18.010
866	967	4	0.8415	3.046
931	967	4	0.858	-26.016
967	1090	4	0.8879	-28.031
737	875	4	0.8369	-28.031
836	875	4	0.8649	-0.000
850	875	4	0.8337	-0.000
861	875	4	0.8698	0.000
875	894	4	0.8593	0.000
