"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"477_206.89_5",477,206.885971423384,5.003333,NA
"478_290.85_5",478,290.847191917239,5.003333,NA
"479_546.73_5",479,546.728145464789,5.003824,NA
"480_458.77_5",480,458.770149778552,5.004274,NA
"481_374.81_5",481,374.808636936037,5.0042915,"C6H6Cl6O3"
"482_964.54_5",482,964.537178035753,5.004443,NA
"483_292.85_5",483,292.845046057408,5.0047026,NA
"484_542.73_5",484,542.731872669144,5.0047865,NA
"485_626.69_5",485,626.693150795695,5.0047865,"C12H11Cl11O3"
"486_794.62_5",486,794.616041396962,5.004793,NA
"487_878.58_5",487,878.577411807037,5.0047865,NA
"488_544.73_5",488,544.730013157066,5.005259,NA
"489_710.65_5",489,710.654631404477,5.0052485,NA
"490_208.88_5",490,208.884059928646,5.0055723,NA
"491_962.54_5",491,962.538710816573,5.0056615,NA
"492_462.77_5",492,462.766146438637,5.0046606,NA
"493_1046.5_5",493,1046.50019644526,5.005263,NA
"494_1048.5_5",494,1048.49847303854,5.005192,NA
"495_291.85_5",495,291.850512202298,5.00471,NA
"496_1132.46_5",496,1132.45981435818,5.007785,NA
"497_630.69_5",497,630.68960288914,5.005568,NA
"498_1130.46_5",498,1130.46129651386,5.010415,NA
"499_882.57_5",499,882.57410974527,5.006319,NA
"500_714.65_5",500,714.651325528089,5.005596,NA
"501_273.12_5",501,273.121110007434,5.0477195,NA
"502_1216.42_5",502,1216.42150984174,5.010946,NA
"503_157.05_5",503,157.045266195537,4.9804106,"C2H5NO6"
"504_156.03_5",504,156.03454343996,4.998191,"C5H12NP"
"507_120.09_5.1",507,120.090706590448,5.147569,NA
"508_156.05_5",508,156.049681954078,5.0241485,NA
"509_273.12_5.1",509,273.121106204801,5.0818143,"C10H22N2O4"
"510_275.12_5.1",510,275.118810141361,5.0825434,"C12H16F2N2O3"
"511_196.06_5.1",511,196.063885888391,5.141709,NA
"513_235.17_5.2",513,235.165227454158,5.1718683,"C10H19NO4"
"514_120.09_5.2",514,120.090704273284,5.1735363,NA
"518_235.17_5.3",518,235.165246210033,5.2808747,"C10H22N2O4"
"520_322.15_5.3",520,322.152675502547,5.3421707,"C14H22FN3O3"
"521_293.06_5.4",521,293.063221852893,5.3581815,"C9H18O8"
"522_120.09_5.3",522,120.090707402156,5.2919517,NA
"523_433.22_5.4",523,433.221262494597,5.4009314,"C20H31FN4O4"
"524_534.37_5.4",524,534.365309916223,5.405283,"C28H47N5O5"
"525_257.15_5.5",525,257.147150335818,5.532346,"C10H22N2O4"
"526_205.07_5.5",526,205.068335998513,5.5387363,NA
"528_417.25_5.6",528,417.247228667274,5.5817213,"C20H34N4O4"
"529_528.32_5.7",529,528.316104007711,5.7040253,"C26H43N5O5"
"534_417.25_5.7",534,417.247246944701,5.723232,"C20H34N4O4"
"535_257.15_5.8",535,257.147135465574,5.7628684,"C10H22N2O4"
"537_141.07_5.8",537,141.071273580761,5.8435216,NA
"538_205.07_5.8",538,205.068328891157,5.839932,NA
"539_140.07_5.8",539,140.068210188913,5.842623,"C5H11NO2"
"540_498.9_5.8",540,498.901399248931,5.843777,"C15H11BrCl2N4O3S"
"541_566.89_5.8",541,566.888945470386,5.8442917,NA
"542_362.93_5.8",542,362.926279787387,5.8436103,"C8H12Cl4N2O2S"
"545_158.96_5.8",545,158.964079670213,5.842617,NA
"546_282.15_5.9",546,282.154697805029,5.891229,"C11H25NO8"
"548_156.04_5.9",548,156.042109347477,5.9346347,"C3H7O4P"
"550_235.17_6",550,235.165122654017,5.982765,"C10H22N2O4"
"552_205.07_6",552,205.068323637391,6.0347486,"C6H14O6"
"554_196.06_6",554,196.063783899745,6.0353026,"C6H15NO5S"
"555_129.05_6.1",555,129.054734058256,6.0599084,"C6H10O4"
"556_147.07_6.1",556,147.065161571362,6.0595074,"C6H12O5"
"557_165.08_6.1",557,165.075790321243,6.0613112,"C6H14O6"
"558_183.09_6.1",558,183.08633311459,6.060606,"C6H14O6"
"56_871.57_0.5",56,871.57307057985,0.50017726,"C55H74N4O5"
"560_294.15_6.1",560,294.15463408565,6.070807,"C12H20O7"
"561_205.07_6.1",561,205.068317543997,6.0710073,"C4H5N5O4"
"562_235.17_6.1",562,235.165209238626,6.103863,"C10H22N2O4"
"565_205.07_6.2",565,205.068330540229,6.165857,NA
"566_156.04_6.2",566,156.042101458786,6.234168,NA
"567_367.12_6.2",567,367.121099598749,6.21305,"C12H24O11"
"568_140.07_6.2",568,140.068180505811,6.219118,"C5H11NO2"
"569_257.15_6.2",569,257.147145672524,6.2180095,"C10H22N2O4"
"570_156.04_6.2",570,156.042102577469,6.2477956,NA
