#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
196	spectra_filtered.mgf	*..*		:301	14162	-1	0	165.076	1	0.902278	0	0	73527700.0	3341700.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf196	-1	GNPS-LIBRARY.mgf	1.10922				7	0	0.000183105	165.076	0	CCMSLIB00012176426
660	spectra_filtered.mgf	*..*		:64369	64369	-1	0	285.04	0	0.901942	0	0	110.491	529893.0	98973-45-6 [M-H]-	MSNLIB-NEGATIVE	temp/spectra_filtered.mgf660	-1	MSNLIB-NEGATIVE.mgf	6654.25				6	0	1.89673	283.143	0	CCMSLIB00012409254
85	spectra_filtered.mgf	*..*		:3119	918	-1	0	265.216	1	0.898151	0	0	1253890.0	4341350.0	Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf85	-1	GNPS-NIST14-MATCHES.mgf	7462.2				7	0	1.9791	263.237	0	CCMSLIB00003135404
676	spectra_filtered.mgf	*..*		:64369	64369	-1	0	285.04	0	0.895525	0	0	110.491	701693.0	98973-45-6 [M-H]-	MSNLIB-NEGATIVE	temp/spectra_filtered.mgf676	-1	MSNLIB-NEGATIVE.mgf	6911.74				6	0	1.97012	283.07	0	CCMSLIB00012409254
83	spectra_filtered.mgf	*..*		:3192	1670	-1	0	255.232	1	0.893338	0	0	243558.0	9337690.0	Spectral Match to Palmitelaidic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf83	-1	GNPS-NIST14-MATCHES.mgf	3856.13				9	0	0.984207	254.248	0	CCMSLIB00003136157
258	spectra_filtered.mgf	*..*		:3388	54512	-1	0	268.104	1	0.893	0	0	176.7	273083.0	ADENOSINE M+H	MONA	temp/spectra_filtered.mgf258	-1	MONA.mgf	3741.96				6	0	1.00323	269.107	0	CCMSLIB00006683541
168	spectra_filtered.mgf	*..*		:3192	1670	-1	0	255.232	1	0.89227	0	0	243558.0	111802.0	Spectral Match to Palmitelaidic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf168	-1	GNPS-NIST14-MATCHES.mgf	3856.13				9	0	0.984207	254.248	0	CCMSLIB00003136157
105	spectra_filtered.mgf	*..*		:3912	2383	-1	0	283.263	1	0.887364	0	0	25793.1	34390800.0	Spectral Match to Elaidic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf105	-1	GNPS-NIST14-MATCHES.mgf	3954.55				10	0	1.12018	282.143	0	CCMSLIB00003136870
66	spectra_filtered.mgf	*..*		:2578	3297	-1	0	563.552	1	0.884628	0	0	5172120.0	4443210.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 2M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf66	-1	GNPS-NIST14-MATCHES.mgf	1.62457				10	0	0.000915527	563.551	0	CCMSLIB00003137784
71	spectra_filtered.mgf	*..*		:3168	3168	-1	0	247.0	1	0.883045	0	0	592.682	3367370.0	MoNA:2479447 O-Galactosylsphingosine M+H	MONA	temp/spectra_filtered.mgf71	-1	MONA.mgf	979.281				10	0	0.241882	247.242	0	CCMSLIB00000565916
44	spectra_filtered.mgf	*..*		:24814	43277	-1	0	355.102	1	0.882701	0	0	290.854	930567.0	(1S,3R,4S,5R)-4-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,3,5-trihydroxycyclohexane-1-carboxylic acid [M+H]+	MONA	temp/spectra_filtered.mgf44	-1	MONA.mgf	91.6124				7	0	0.0325317	355.069	0	CCMSLIB00004715877
511	spectra_filtered.mgf	*..*		:77	3818	-1	0	196.06	1	0.882154	0	0	747315.0	126991.0	Spectral Match to 2-(N-Morpholino)ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf511	-1	GNPS-NIST14-MATCHES.mgf	19.8459				6	0	0.00389099	196.064	0	CCMSLIB00003138305
692	spectra_filtered.mgf	*..*		:5294	5294	-1	0	258.11	0	0.870898	0	0	461396000.0	546019.0	L-alpha-Glycerylphosphorylcholine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf692	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	0.827643				6	0	0.000213623	258.11	0	CCMSLIB00006121569
632	spectra_filtered.mgf	*..*		:600	5710	-1	0	239.105	1	0.861344	0	0	690140.0	9053140.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf632	-1	GNPS-NIST14-MATCHES.mgf	3810.53				9	0	0.911118	238.194	0	CCMSLIB00003140197
169	spectra_filtered.mgf	*..*		:4774	3163	-1	0	282.28	1	0.860767	0	0	1464660.0	214050.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf169	-1	GNPS-NIST14-MATCHES.mgf	3550.04				9	0	1.00211	283.282	0	CCMSLIB00003137650
117	spectra_filtered.mgf	*..*		:1333	1333	-1	0	387.363	1	0.859755	0	0	17593.4	4342690.0	Massbank: Cholesterol [M+H]+	MASSBANK	temp/spectra_filtered.mgf117	-1	MASSBANK.mgf	438.663				10	0	0.169922	387.193	0	CCMSLIB00000206073
597	spectra_filtered.mgf	*..*		:600	5710	-1	0	239.105	0	0.859376	0	0	690140.0	10299600.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf597	-1	GNPS-NIST14-MATCHES.mgf	3797.64				9	0	0.908035	238.197	0	CCMSLIB00003140197
74	spectra_filtered.mgf	*..*		:4218	5408	-1	0	265.252	1	0.858041	0	0	1406980.0	8174470.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf74	-1	GNPS-NIST14-MATCHES.mgf	1.95587				9	0	0.000518799	265.253	0	CCMSLIB00003139895
690	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	0	0.85722	0	0	100779.0	160904.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf690	-1	GNPS-NIST14-MATCHES.mgf	1.83353				7	0	0.000335693	183.086	0	CCMSLIB00003136083
194	spectra_filtered.mgf	*..*		:2109	3963	-1	0	135.117	1	0.856149	0	0	105344.0	6889590.0	Spectral Match to .alpha.-Pinene oxide from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf194	-1	GNPS-NIST14-MATCHES.mgf	270.129				6	0	0.036499	135.081	0	CCMSLIB00003138450
635	spectra_filtered.mgf	*..*		:600	5710	-1	0	239.105	1	0.854162	0	0	690140.0	10405700.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf635	-1	GNPS-NIST14-MATCHES.mgf	3824.19				9	0	0.914383	238.191	0	CCMSLIB00003140197
634	spectra_filtered.mgf	*..*		:600	5710	-1	0	239.105	1	0.854162	0	0	690140.0	10405700.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf634	-1	GNPS-NIST14-MATCHES.mgf	3794.83				9	0	0.907364	238.198	0	CCMSLIB00003140197
636	spectra_filtered.mgf	*..*		:600	5710	-1	0	239.105	1	0.854051	0	0	690140.0	7984520.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf636	-1	GNPS-NIST14-MATCHES.mgf	3820.81				9	0	0.913574	238.191	0	CCMSLIB00003140197
90	spectra_filtered.mgf	*..*		:2326	6918	-1	0	297.243	1	0.845717	0	0	215400.0	3389440.0	NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585] [M-H2O+H]+	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	temp/spectra_filtered.mgf90	-1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE.mgf	3313.53				12	0	0.984924	296.258	0	CCMSLIB00005722214
600	spectra_filtered.mgf	*..*		:600	5710	-1	0	239.105	1	0.845362	0	0	690140.0	406523000.0	Spectral Match to 4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf600	-1	GNPS-NIST14-MATCHES.mgf	2.93555				9	0	0.000701904	239.106	0	CCMSLIB00003140197
